Identifier,Competency Question,SPARQL Query
CQ-1,In which status is the procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX adms: <http://www.w3.org/ns/adms#> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
adms:status ?status . 
}  "
CQ-2,Which is the role/access rights of a user with respect to a certain procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX pro: <http://purl.org/spar/pro/> 

SELECT *
WHERE {
?roleInTime a pro:RoleInTime ;
dct:relatesTo ?procedure ;
pro:withRole ?role .
?procedure a pko:Procedure .
?agent pro:holdsRoleInTime ?roleInTime .
}"
CQ-3,What role did the user have at this specific moment in time?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX pro: <http://purl.org/spar/pro/> 

SELECT *
WHERE {
?roleInTime a pro:RoleInTime ;
pro:withRole ?role ;
dct:temporal ?time .
?agent pro:holdsRoleInTime ?roleInTime .
}"
CQ-4,Which are the sub-parts (steps or group of steps) of a procedure that can be reused for other procedures?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?stepOrMultistep 
}"
CQ-5,Which are the steps of a procedure that may not be executed (optional / alternative steps)?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step .
?step pko:minRepetitions ?minReps.
FILTER (?minReps=0)
}

###

PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step .
?step pko:nextAlternativeStep ?alternativeStep.
}"
CQ-6,"Which is the template procedure (i.e., abstract procedure) corresponding to one (or more than one) procedure that can be actually executed?","PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedureVersion a pko:Procedure ;
pko:isVersionOf ?procedure .}

###

PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasTemplate ?templateProcedure .}"
CQ-7,Which are the media/documents related to a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 
PREFIX schema: <https://schema.org/>

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
dct:references ?resource . 
?resource dct:title ?resourceTitle ; 
dct:format ?resourceFormat ; 
schema:url ?resourceURL . 
}  "
CQ-8,Which are the media/documents related to a step of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 
PREFIX schema: <https://schema.org/>

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasStep ?step . 
?step dct:references ?resource . 
?resource dct:title ?resourceTitle ; 
dct:format ?resourceFormat ; 
schema:url ?resourceURL . 
}  "
CQ-9,"Which are the media/documents related to the object (e.g., a machine) involved in a certain procedure?","PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 
PREFIX schema: <https://schema.org/>

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasProcedureTarget ?target .
?target dct:references ?resource . 
?resource dct:title ?resourceTitle ; 
dct:format ?resourceFormat ; 
schema:url ?resourceURL . 
}  "
CQ-10,When was a media/document created/modified?,"PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 

SELECT * 
WHERE { 
?resource a dcat:Resource ;
dct:created ?createdOn
}  

###

PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 

SELECT * 
WHERE { 
?resource a dcat:Resource ;
dct:modified ?modifiedOn
}  "
CQ-11,Which is the author of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/>

SELECT * 
WHERE { 
?procedure a pko:Procedure ;
dct:creator ?creator
}  "
CQ-12,"Who changed the status of a procedure, and when?","PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/>
PREFIX prov: <http://www.w3.org/ns/prov#>

SELECT * 
WHERE { 
?procedure a pko:Procedure ;
pko:hasChangeOfStatus ?changeOfStatus . 
?changeOfStatus pko:wasExecutedBy ?agent ;
prov:startedAtTime ?startTime ;
prov:endedAtTime ?endTime
}  "
CQ-13,Which are the procedures associated with a certain keyword?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ;
dcat:keyword ?keyword .
}  "
CQ-14,Which are the sub-steps of a procedure that may be not useful for an expert user?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step .
?step pko:isForExpertiseLevel ?expertiseLevel.
}"
CQ-15,In which status is the execution of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX adms: <http://www.w3.org/ns/adms#>

SELECT *
WHERE {
?procedure a pko:ProcedureExecution ;
pko:hasExecutedProcedure ?procedure ;
adms:status ?procedureExecutionStatus .
}"
CQ-16,"When did the execution of a certain (step of a) procedure start, and when did it end? ","PREFIX pko: <https://w3id.org/pko#> 
PREFIX prov: <http://www.w3.org/ns/prov#>
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
prov:startedAtTime ?startTime ;
prov:endedAtTime ?endTime .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-17,Which errors/problems/issues have been encountered during the execution of (a step of) a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasIssueOccurrence ?issue .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-18,Was the execution of a step confirmed by the user or by the machine?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:wasConfirmedBy ? agent .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-19,What is the time usually required to perform a (step of a) procedure? ,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:hasStep ?step . 
?step pko:hasExpectedDuration ?expDuration
}

###

PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure .
?procedure pko:hasExpectedDuration ?expDuration
}"
CQ-20,Which is the cause identified by the user for a problem/error arisen during execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasIssueOccurrence ?issue .
?issue pko:issueCauseByUser ?causeByUser .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-21,How was a problem/error solved during execution?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasIssueOccurrence ?issue .
?issue pko:issueSolutionByUser ?solutionByUser .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-22,What are the versions of a certain procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dcat: <http://www.w3.org/ns/dcat#>

SELECT *
WHERE {
?procedure a pko:Procedure ;
dcat:hasVersion ?procedureVersion .}"
CQ-23,What was the motivation for creating a new version of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT *
WHERE {
?procedure a pko:Procedure ;
pko:newVersionMotivation ?procedureVersionMotivation .}"
CQ-24,Who created/validated/implemented a new version of a procedure and when?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dcat: <http://www.w3.org/ns/dcat#>
PREFIX dct: <http://purl.org/dc/terms/>

SELECT *
WHERE {
?procedure a pko:Procedure ;
dcat:hasVersion ?procedureVersion .
?procedureVersion dct:creator ?creator ;
dct:created ?createdOn.}"
CQ-25,"Which feedback has been given about a procedure (during or at the end of its execution), and by whom?","PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:hasUserFeedbackOccurrence ?feedbackOcc .
?feedbackOcc pko:feedbackOnProcedure ?feedback ;
pko:wasExecutedBy ?agent .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-26,Which procedures have been executed during a specific time interval?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX prov: <http://www.w3.org/ns/prov#>
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?procedureExecution a pko:ProcedureExecution ;
pko:hasExecutedProcedure ?procedure ;
prov:startedAtTime ?startTime ;
prov:endedAtTime ?endTime .
?procedure a pko:Procedure .
}"
CQ-27,Which are the steps of a procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:hasStep ?step . 
?step dct:title ?stepTitle 
}  "
CQ-28,Who is executing a (step of a) procedure?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX pplan: <http://purl.org/net/p-plan#>

SELECT *
WHERE {
?stepExecution a pko:StepExecution ;
pko:hasExecutedStep ?step ;
pko:wasExecutedBy ?agent .
?step pplan:isStepOfPlan ?procedure .
?procedure a pko:Procedure .
}"
CQ-29,From which data source a piece of information associated with a procedure has been collected?,"PREFIX pko: <https://w3id.org/pko#> 
PREFIX dct: <http://purl.org/dc/terms/> 
PREFIX dcat: <http://www.w3.org/ns/dcat#> 

SELECT * 
WHERE { 
?procedure a pko:Procedure ; 
dct:title ?procedureTitle ; 
pko:wasExtractedFrom ?resource . 
}  "
CQ-30,Which is the category of a FAQ posed by a user?,"PREFIX pko: <https://w3id.org/pko#> 

SELECT * 
WHERE { 
?FAQ a pko:FrequentlyAskedQuestion ; 
pko:hasFAQCategory ?FAQCategory . 
}  "
