Identifier,Fact
F-1,A Procedure represents a sequence of actions to be executed in order to achieve a desired outcome.
F-2,A version of a Procedure is a description of a specific set of Steps for the execution of a Procedure. A Procedure that is not associated with a set of Steps can not be executed.
F-3,A Step groups one or more actions to execute a portion of a Procedure.
F-4,"The Steps of a Procedure are, at least partially, sequential. Indeed, a Procedure always starts with a first step."
F-5,"A Procedure Execution is an Activity representing the execution of a certain Procedure Version, performed by one or more Agents, during a time interval."
F-6,"A Procedure is described by an identifier, a title, a description, keyword(s)."
F-7,A Procedure can be associated with a web page or a web URL for visualising or downloading it.
F-8,A Procedure is created by one or more Agents at a certain time.
F-9,A Procedure can be modified by one or more Agents at a certain time.
F-10,"A Procedure can refer to one or more Resources (e.g., Documents, Media, other Procedures). "
F-11,The desired outcome of a Procedure can be expressed in terms of a Type of Activity executed on a Procedure Target.
F-12,"A Procedure is associated with one or more Procedure Targets, that are the objects at which the actions of the Procedure are directed. A Procedure Target can be, for instance: a Commissioning Project, an Equipment, a Machine, a Workstation."
F-13,"A Procedure can be categorised by a certain Procedure Type, which can be, for instance: Commissioning, Maintenance, etc."
F-14,A Procedure can be defined by an Organisation.
F-15,A Procedure can be associated with an Organisation adopting it.
F-16,A Procedure is a Template if it is associated with one or more versions of a Procedure that describe a preset of Steps that can be used to define an Executable Procedure. The versions of a Procedure associated with a Template Procedure are not directly executable in the form they are specified.
F-17,A Procedure Template can be associated with multiple Executable Procedures.
F-18,An Agent interacting with a Procedure can have a certain role.
F-19,The same Agent can have multiple roles at the same time.
F-20,A specific version of a Procedure is created by one or more Agents at a certain time.
F-21,"A specific version of a Procedure can be modified by one or more Agents at a certain time, thus creating a new version of the Procedure."
F-22,"A Procedure can have multiple versions, which can be sequentially ordered. There is always one version that is considered the current one."
F-23,"A version of a Procedure is associated with a version number, the motivation why a new version has been created, and a changelog description detailing all updates with respect to the previous version."
F-24,"A version of a Procedure is linked to its previous and next version(s), when applicable."
F-25,"A version of a Procedure can be extracted from one or more Resources (e.g., Documents, Media)."
F-26,"A version of a Procedure can refer to one or more Resources (e.g., Documents, Media, other Procedure Versions). "
F-27,A version of a Procedure is associated with a current Status.
F-28,"The status of Procedure can be one of: Draft, Validated, Approved, Archived."
F-29,"A Procedure can be associated with a change of its status (e.g., from Approved to Archived)."
F-30,"A Change of Status of a Procedure, from a start status to an end status, is performed by one or more Agents, at a certain time, and can be associated with a specific motivation of the change of status."
F-31,"A Step is linked to its previous and next step(s), when applicable, with respect to the intended sequential order of execution."
